City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Mahibadhoo,MV,2021-01-30 17:00:28,3.7833,72.9667,81.25,74,0,11.68
92,Tuatapere,NZ,2021-01-30 17:00:28,-46.1333,167.6833,48.0,80,69,8.01
93,Shimanovsk,RU,2021-01-30 17:00:28,52.0,127.7,-29.9,84,0,2.95
94,Wang Saphung,TH,2021-01-30 17:00:29,17.301,101.7685,67.62,64,0,1.7
95,Vaini,TO,2021-01-30 17:00:29,-21.2,-175.2,73.4,94,90,4.61
96,Provideniya,RU,2021-01-30 17:00:29,64.3833,-173.3,-11.69,83,61,6.85
97,Kapaa,US,2021-01-30 17:00:29,22.0752,-159.319,71.6,88,40,14.97
98,Tasiilaq,GL,2021-01-30 17:00:29,65.6145,-37.6368,15.8,41,75,17.27
99,Suchedniow,PL,2021-01-30 17:00:29,51.0478,20.8292,28.0,83,95,7.49
100,Guarda,PT,2021-01-30 17:00:29,40.5373,-7.2658,48.99,90,98,8.01
101,Chokurdakh,RU,2021-01-30 17:00:29,70.6333,147.9167,-28.93,85,3,7.11
102,Klaksvik,FO,2021-01-30 17:00:30,62.2266,-6.589,35.6,93,75,2.3
103,Hervey Bay,AU,2021-01-30 16:55:55,-25.2986,152.8535,72.0,84,4,4.0
104,Lafia,NG,2021-01-30 17:00:30,8.4833,8.5167,93.43,11,7,1.19
105,Caravelas,BR,2021-01-30 17:00:30,-17.7125,-39.2481,85.01,53,6,9.28
106,Griffith,US,2021-01-30 16:57:20,41.5284,-87.4237,32.0,59,90,16.11
107,Alice Springs,AU,2021-01-30 17:00:30,-23.7,133.8833,86.0,32,52,12.66
108,Ust-Maya,RU,2021-01-30 17:00:31,60.4167,134.5333,-39.05,80,100,0.65
109,Saint-Augustin,CA,2021-01-30 17:00:31,51.226,-58.6502,29.59,93,22,15.12
110,Husavik,IS,2021-01-30 16:55:49,66.0449,-17.3389,21.2,68,75,9.22
111,Nago,JP,2021-01-30 17:00:31,26.5881,127.9761,59.0,81,1,5.75
112,Chapais,CA,2021-01-30 17:00:31,49.7834,-74.8492,-4.0,77,90,8.05
113,Kahului,US,2021-01-30 17:00:31,20.8947,-156.47,66.99,94,40,13.8
114,Bambui,BR,2021-01-30 17:00:32,-20.0064,-45.9769,85.08,50,87,4.45
115,Georgetown,MY,2021-01-30 17:00:20,5.4112,100.3354,80.6,83,20,3.44
116,Moose Factory,CA,2021-01-30 17:00:32,51.2585,-80.6094,-0.4,84,90,2.06
117,Bukachacha,RU,2021-01-30 17:00:33,52.9833,116.9167,-21.33,84,100,1.77
