City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Hithadhoo,MV,-0.6,73.0833,82.6,76,100,13.04,overcast clouds
116,Kissing,DE,48.3037,10.9709,34.0,93,90,6.91,overcast clouds
117,Ylojarvi,FI,61.5563,23.5961,14.0,92,90,2.3,light snow
118,Cherskiy,RU,68.75,161.3,-20.97,80,92,5.12,overcast clouds
119,Castro,BR,-24.7911,-50.0119,72.79,79,100,8.46,overcast clouds
120,Hella,NO,67.2,14.4333,19.99,73,40,11.5,scattered clouds
121,Lebork,PL,54.5392,17.7501,30.99,74,40,18.41,snow
122,Birjand,IR,32.8663,59.2211,33.8,32,0,6.91,clear sky
123,Tuatapere,NZ,-46.1333,167.6833,58.19,72,11,3.49,few clouds
124,Galway,IE,53.2719,-9.0489,44.6,87,90,13.8,overcast clouds
125,Peniche,PT,39.3558,-9.3811,59.0,100,95,17.0,overcast clouds
126,Newcastle,AU,-32.9272,151.7765,72.0,100,75,4.61,broken clouds
127,Mumbwa,ZM,-14.9783,27.0619,68.11,93,100,2.95,light rain
128,Port Hardy,CA,50.6996,-127.4199,44.6,93,75,6.91,light rain
129,Villarrica,PY,-25.75,-56.4333,75.06,94,100,3.13,overcast clouds
130,Tautira,PF,-17.7333,-149.15,84.2,65,40,8.05,scattered clouds
131,Sikonge,TZ,-5.6333,32.7667,66.33,88,100,2.13,overcast clouds
132,Nantucket,US,41.2835,-70.0995,28.4,69,90,11.5,overcast clouds
133,Georgetown,MY,5.4112,100.3354,78.8,78,20,4.61,few clouds
134,Marzuq,YE,14.4,46.4667,61.5,57,0,0.67,clear sky
135,Weymouth,US,42.2209,-70.9398,26.01,53,100,4.61,overcast clouds
136,Saskylakh,RU,71.9167,114.0833,-30.8,84,63,7.94,broken clouds
137,Zyryanka,RU,65.75,150.85,-28.73,84,100,16.6,overcast clouds
138,Kaniama,CD,-7.5667,24.1833,68.09,96,100,2.35,overcast clouds
139,Kununurra,AU,-15.7667,128.7333,78.8,85,75,3.33,broken clouds
140,Lubango,AO,-14.9172,13.4925,59.72,75,100,3.22,overcast clouds
141,Qaanaaq,GL,77.484,-69.3632,-3.44,88,100,0.6,overcast clouds
142,Charagua,BO,-19.8,-63.2167,80.6,61,75,5.17,broken clouds
143,Fort Nelson,CA,58.8053,-122.7002,-14.8,76,75,4.61,light snow
144,Qaracala,AZ,39.8132,48.9523,45.7,72,20,6.82,few clouds
