City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
553,Grand-Bourg,GP,78.8,few clouds,15.8835,-61.3148,Coco Beach Resort
554,Nautla,MX,75.07,overcast clouds,20.2167,-96.7833,Casa Blanca
555,Fenoarivo Atsinanana,MG,78.33,scattered clouds,-17.3667,49.4167,L'Oasis Lodge
556,Karratha,AU,84.7,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
560,Sola,VU,84.2,broken clouds,-13.8833,167.55,Leumerus Bungalows
564,Mareeba,AU,80.01,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
565,Bom Jesus,BR,77.5,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
568,Jega,NG,75.33,clear sky,12.2175,4.3792,ALH. Nasiru Ibrahim
570,Perbaungan,ID,75.2,mist,3.5679,98.956,Bendang Lama
574,Bubaque,GW,78.66,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
575,Bontang,ID,76.39,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
577,Boueni,YT,82.4,broken clouds,-12.9025,45.0761,The feet in water
580,Acapulco,MX,84.2,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
592,Sambava,MG,76.21,few clouds,-14.2667,50.1667,Melrose
593,Pedernales,DO,79.12,scattered clouds,18.0384,-71.744,Hotel Costa Marina
595,Catia La Mar,VE,78.8,broken clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
597,Omboue,GA,77.59,overcast clouds,-1.5746,9.2618,Hotel Olako
600,Katiola,CI,86.0,few clouds,8.1333,-5.1,Kakoumani
602,Port Macquarie,AU,75.99,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
603,Biloela,AU,80.62,clear sky,-24.4167,150.5,Silo Motor Inn
604,Itaituba,BR,80.6,few clouds,-4.2761,-55.9836,Hotel Campos
605,Namatanai,PG,84.43,overcast clouds,-3.6667,152.4333,Namatanai Hotel
608,Puerto Colombia,CO,82.4,clear sky,10.9878,-74.9547,Hotel El Emigrante
609,Chake Chake,TZ,77.29,overcast clouds,-5.2459,39.7666,Hotel Archipelago
612,Malakal,SS,77.58,clear sky,9.5334,31.6605,Nile Palace Hotel
613,Artigas,UY,76.98,broken clouds,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
622,Puerto Carreno,CO,87.71,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
642,Mazamari,PE,75.02,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
646,Isangel,VU,78.8,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
